participant	study	session_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
20590	BHRC	2	-84	1			1		1	Pass
20594	BHRC	1	-68		1	1		1	1	Pass
20597	BHRC	1	-33			1	1	1	1	Pass
20602	BHRC	1	-105	1			1		1	Pass
20604	BHRC	1	-61			1	1	1	1	Pass
20605	BHRC	1	-45	1	1				1	Pass
20605	BHRC	2	-49	1	1				1	Pass
20611	BHRC	2	-67			1	1	1	1	Pass
20613	BHRC	1	-95	1			1		1	Pass
20614	BHRC	1	-111	1			1		1	Pass
20614	BHRC	2	-59	1	1				1	Pass
20615	BHRC	2	-57	1			1		1	Pass
20616	BHRC	1	-57		1	1		1	1	Pass
20620	BHRC	2	-47	1	1				1	Pass
20621	BHRC	1	-127			1	1	0.5	0.833333333	Artifact
20624	BHRC	1	-98		1	1		1	1	Pass
20624	BHRC	2	-109	1			1		1	Pass
20625	BHRC	1	-80	1	1				1	Pass
20626	BHRC	2	-71	1	1				1	Pass
20627	BHRC	1	-86			1	1	1	1	Pass
20632	BHRC	3	-45	1			1		1	Pass
20636	BHRC	3	-33	1	1				1	Pass
20639	BHRC	1	-61			1	1	1	1	Pass
20639	BHRC	2	-57			1	1	1	1	Pass
20640	BHRC	1	-85	1	1				1	Pass
20640	BHRC	2	-77	1	1				1	Pass
20643	BHRC	1	-96	1			1		1	Pass
20643	BHRC	2	-71	1	1	1	1	1	1	Pass
20647	BHRC	1	-34		1	1		1	1	Pass
20647	BHRC	2	-55	1			1		1	Pass
20648	BHRC	1	-83			1	1	1	1	Pass
20648	BHRC	2	-222	0	0				0	Fail
20652	BHRC	1	-104			1	1	1	1	Pass
20652	BHRC	2	-71	1			1		1	Pass
20653	BHRC	1	-57	1	1	1	1	1	1	Pass
20654	BHRC	1	-65		1	1		1	1	Pass
20654	BHRC	2	-47	1	0.75	1	1	1	0.95	Artifact
20655	BHRC	1	-49		1	1		1	1	Pass
20655	BHRC	2	-48	1			1		1	Pass
20662	BHRC	1	-87	1			1		1	Pass
20665	BHRC	1	-87		0.75	1		1	0.916666667	Artifact
20665	BHRC	2	-67			1	1	1	1	Pass
20667	BHRC	1	-62	1			1		1	Pass
20671	BHRC	1	-87	1			1		1	Pass
20672	BHRC	1	-83		1	1		1	1	Pass
20672	BHRC	2	-51	1	1	1	1	1	1	Pass
20674	BHRC	2	-48	1	1	1	1	1	1	Pass
20675	BHRC	1	-54	1			1		1	Pass
20678	BHRC	1	-67			1	1	1	1	Pass
20678	BHRC	2	-68			1	1	1	1	Pass
20683	BHRC	1	-77		1	1		1	1	Pass
20688	BHRC	1	-68			1	1	1	1	Pass
20688	BHRC	2	-48			1	1	1	1	Pass
20689	BHRC	1	-56			1	1	1	1	Pass
20689	BHRC	2	-55		1	1		1	1	Pass
20693	BHRC	1	-89	1	1	1	1	1	1	Pass
20698	BHRC	1	-87	1	1	1	1	1	1	Pass
20698	BHRC	2	-96		1	1		1	1	Pass
20699	BHRC	1	-36	1	1				1	Pass
20699	BHRC	2	-37	1	1	1	1	1	1	Pass
20700	BHRC	1	-36	1	1	1	1	1	1	Pass
20706	BHRC	1	-59	1	1	1	1	1	1	Pass
20706	BHRC	2	-75			1	1	1	1	Pass
20714	BHRC	1	-74	1	1				1	Pass
20714	BHRC	2	-63		1	1		1	1	Pass
20717	BHRC	1	-106		1	1		1	1	Pass
20719	BHRC	1	-63	1	1				1	Pass
20719	BHRC	2	-62	1	1	1	1	1	1	Pass
20725	BHRC	1	-70	1	1				1	Pass
20726	BHRC	1	-95	1	1	1	1	1	1	Pass
20727	BHRC	2	-74		1	1		1	1	Pass
20731	BHRC	1	-96	1			1		1	Pass
20731	BHRC	2	-55			1	1	1	1	Pass
20733	BHRC	1	-83	1	1	1	1	1	1	Pass
20737	BHRC	1	-36		1	1		1	1	Pass
20737	BHRC	2	-40		1	1		1	1	Pass
20738	BHRC	1	-79	1	1	1	1	1	1	Pass
20738	BHRC	2	-61		1	1		1	1	Pass
20741	BHRC	1	-45	1			1		1	Pass
20744	BHRC	1	-96			1	1	1	1	Pass
20745	BHRC	1	-76	1			1		1	Pass
20745	BHRC	2	-92		1	1		1	1	Pass
20746	BHRC	1	-86			1	1	1	1	Pass
20754	BHRC	1	-65	1	1				1	Pass
20758	BHRC	1	-47	1			1		1	Pass
20760	BHRC	1	-75	1	1				1	Pass
20760	BHRC	2	-65	1			1		1	Pass
20765	BHRC	1	-73	1	1				1	Pass
20765	BHRC	2	-74			1	1	1	1	Pass
20767	BHRC	1	-62	1	1	1	1	1	1	Pass
20769	BHRC	1	-127		0.75	1		0.75	0.833333333	Artifact
20771	BHRC	1	-64	1			1		1	Pass
20771	BHRC	2	-80	1			1		1	Pass
20772	BHRC	1	-74		1	1		1	1	Pass
20773	BHRC	1	-50	1	1	1	1	1	1	Pass
20773	BHRC	2	-63			1	1	1	1	Pass
20780	BHRC	1	-58	1	1				1	Pass
20783	BHRC	2	-42	1	1				1	Pass
20793	BHRC	1	-58	1			1		1	Pass
20795	BHRC	1	-89	1	1	1	1	1	1	Pass
20799	BHRC	1	-53			1	1	0.75	0.916666667	Artifact
20800	BHRC	1	-87	1	1				1	Pass
20800	BHRC	2	-62		1	1		1	1	Pass
20803	BHRC	1	-78	1	1				1	Pass
20806	BHRC	1	-77			1	1	1	1	Pass
20806	BHRC	2	-26	1	1	1	1	1	1	Pass
20811	BHRC	1	-101	1			1		1	Pass
20815	BHRC	1	-59			1	1	1	1	Pass
20815	BHRC	2	-50	1			1		1	Pass
20816	BHRC	1	-77	1	1	1	1	1	1	Pass
20818	BHRC	2	-47		1	1		1	1	Pass
20826	BHRC	1	-48	1			1		1	Pass
20826	BHRC	2	-42			1	1	0.75	0.916666667	Artifact
20829	BHRC	3	-50		1	1		1	1	Pass
20833	BHRC	1	-71		1	1		1	1	Pass
20837	BHRC	1	-58	1	1	1	1	1	1	Pass
20839	BHRC	1	-66	1	1				1	Pass
20839	BHRC	2	-87	1	1				1	Pass
20840	BHRC	1	-57			1	1	1	1	Pass
20841	BHRC	1	-43	1	1	1	1	1	1	Pass
20844	BHRC	1	-30	1			1		1	Pass
20844	BHRC	2	-18		1	1		1	1	Pass
20846	BHRC	1	-84	1	1	1	1	1	1	Pass
20846	BHRC	2	-92	1	1	1	1	1	1	Pass
20848	BHRC	2	-50			1	1	0.75	0.916666667	Artifact
20850	BHRC	1	-55	1			1		1	Pass
20852	BHRC	1	-78	1	1				1	Pass
20856	BHRC	2	-41		1	1		1	1	Pass
20857	BHRC	2	-97	1			1		1	Pass
20860	BHRC	2	-84	1	1				1	Pass
20866	BHRC	3	-33	1			1		1	Pass
20870	BHRC	1	-100	1			1		1	Pass
20871	BHRC	1	-60	1	1	1	1	1	1	Pass
20871	BHRC	2	-35	1	1	1	1	1	1	Pass
20875	BHRC	1	-71		1	1		1	1	Pass
20875	BHRC	2	-44		1	1		1	1	Pass
20877	BHRC	1	-102			1	1	1	1	Pass
20877	BHRC	2	-65	1	0.75				0.875	Artifact
20878	BHRC	1	-96			1	1	1	1	Pass
20878	BHRC	2	-31	1	1	1	1	1	1	Pass
20879	BHRC	3	-82	1	1				1	Pass
20880	BHRC	1	-85		1	1		1	1	Pass
20880	BHRC	2	-60	1			1		1	Pass
20882	BHRC	2	-40	1	1				1	Pass
20887	BHRC	2	-77	1	1	1	1	1	1	Pass
20891	BHRC	1	-60			1	1	1	1	Pass
20894	BHRC	1	-46			1	1	0.75	0.916666667	Artifact
20894	BHRC	2	-48	1			1		1	Pass
20901	BHRC	1	-140		1	1		1	1	Pass
20905	BHRC	1	-52	1			1		1	Pass
20905	BHRC	2	-60	1			1		1	Pass
20909	BHRC	1	-79	1	1				1	Pass
20909	BHRC	2	-109		1	1		1	1	Pass
20911	BHRC	1	-44			1	1	1	1	Pass
20915	BHRC	1	-93		1	1		1	1	Pass
20916	BHRC	1	-65	1	1				1	Pass
20916	BHRC	2	-70		1	1		1	1	Pass
20922	BHRC	1	-65	1			1		1	Pass
20922	BHRC	2	-76		1	1		1	1	Pass
20923	BHRC	2	-74	1			1		1	Pass
20927	BHRC	1	-69	1	1	1	1	1	1	Pass
20930	BHRC	1	-106		1	1		1	1	Pass
20930	BHRC	2	-75	1			1		1	Pass
20934	BHRC	1	-58		1	1		1	1	Pass
20935	BHRC	2	-95		1	1		1	1	Pass
20936	BHRC	1	-59		1	1		1	1	Pass
20939	BHRC	1	-96		1	1		1	1	Pass
20939	BHRC	2	-97	1	1	1	1	1	1	Pass
20943	BHRC	1	-72		1	1		1	1	Pass
20943	BHRC	2	-64	1	1	1	1	1	1	Pass
20948	BHRC	1	-51	1	1				1	Pass
20951	BHRC	1	-87	1	1	1	1	1	1	Pass
20954	BHRC	1	-64		1	1		1	1	Pass
20954	BHRC	2	-75			1	1	0.75	0.916666667	Artifact
20962	BHRC	1	-53		1	1		1	1	Pass
20963	BHRC	1	-48			1	1	1	1	Pass
20963	BHRC	2	-73	1	1				1	Pass
20965	BHRC	1	-77	1	1				1	Pass
20965	BHRC	2	-102	1	1				1	Pass
20968	BHRC	1	-63	1	1	1	1	1	1	Pass
20974	BHRC	1	-71	1			1		1	Pass
20978	BHRC	1	-90	1	1	1	1	1	1	Pass
20978	BHRC	2	-89			1	1	1	1	Pass
20980	BHRC	1	-139	1	1	1	1	1	1	Pass
20981	BHRC	2	-60	1	1	1	1	1	1	Pass
20982	BHRC	1	-48	1	1				1	Pass
20982	BHRC	2	-56	1	1				1	Pass
20984	BHRC	1	-57	1	1	1	1	1	1	Pass
20985	BHRC	1	-72	1	1				1	Pass
20985	BHRC	2	-113	1	1				1	Pass
20989	BHRC	1	-64		1	1		1	1	Pass
20991	BHRC	2	-38	1			1		1	Pass
20992	BHRC	1	-65			1	1	1	1	Pass
20995	BHRC	1	-101			1	1	1	1	Pass
21004	BHRC	1	-64	1			1		1	Pass
21004	BHRC	2	-57	1	1				1	Pass
21007	BHRC	1	-73		1	1		1	1	Pass
21009	BHRC	1	-120	1	1	1	1	1	1	Pass
21009	BHRC	2	-97	1	1				1	Pass
21011	BHRC	2	-55	1	1	1	1	1	1	Pass
21012	BHRC	1	-110			1	1	1	1	Pass
21012	BHRC	2	-157			1	1	1	1	Pass
21018	BHRC	1	-51			1	1	1	1	Pass
21021	BHRC	1	-67	1	1	1	1	1	1	Pass
21021	BHRC	2	-63	1			1		1	Pass
21022	BHRC	1	-97	1			1		1	Pass
21022	BHRC	2	-90		1	1		1	1	Pass
21024	BHRC	1	-67		1	1		1	1	Pass
21024	BHRC	2	-48		1	1		1	1	Pass
21031	BHRC	1	-56	1	1	1	1	1	1	Pass
21033	BHRC	1	-143	1			1		1	Pass
21033	BHRC	2	-121	1			1		1	Pass
21039	BHRC	1	-74	1	1	1	1	0.75	0.95	Artifact
21039	BHRC	2	-47	1	1	1	1	1	1	Pass
21041	BHRC	1	-94	1	1	1	1	1	1	Pass
21041	BHRC	2	-112	1	1				1	Pass
21042	BHRC	1	-86	1			1		1	Pass
21043	BHRC	1	-80		0.75	1		1	0.916666667	Artifact
21044	BHRC	1	-72			1	1	1	1	Pass
21044	BHRC	2	-60	1	1	1	1	1	1	Pass
21052	BHRC	1	-93	1	1	1	1	1	1	Pass
21053	BHRC	1	-71		0.75	1		1	0.916666667	Artifact
21055	BHRC	1	-64	1			1		1	Pass
21055	BHRC	2	-68	1	1				1	Pass
21056	BHRC	2	-74	1			1		1	Pass
21059	BHRC	2	-67	1	1				1	Pass
21061	BHRC	2	-53	1			1		1	Pass
21062	BHRC	1	-89			1	1	1	1	Pass
21065	BHRC	1	-121		1	1		1	1	Pass
21069	BHRC	1	-59		1	1		1	1	Pass
21070	BHRC	1	-61	1			1		1	Pass
21070	BHRC	2	-49		1	1		1	1	Pass
21074	BHRC	1	-67	1	1	1	1	1	1	Pass
21074	BHRC	2	-51		1	1		1	1	Pass
21075	BHRC	1	-60	1	1				1	Pass
21077	BHRC	2	-70	1	1	1	1	1	1	Pass
21078	BHRC	1	-68	1	1				1	Pass
21078	BHRC	2	-70		1	1		1	1	Pass
21080	BHRC	2	-54			1	1	1	1	Pass
21082	BHRC	1	-38		1	1		1	1	Pass
21083	BHRC	1	-40	1	1	1			1	Pass
21083	BHRC	2	-74	1	1				1	Pass
21084	BHRC	1	-69		1	1		1	1	Pass
21085	BHRC	1	-66		1	1		1	1	Pass
21090	BHRC	1	-65	1	1	1	1	1	1	Pass
21090	BHRC	2	-106	1			1		1	Pass
21092	BHRC	1	-52			1	1	1	1	Pass
21093	BHRC	1	-85	1	1	1	1	0.75	0.95	Artifact
21101	BHRC	1	-82		1	1		1	1	Pass
21106	BHRC	1	-83	1	1				1	Pass
21110	BHRC	1	-56	1	1				1	Pass
21115	BHRC	1	-41	1			1		1	Pass
21117	BHRC	1	-61	1			1		1	Pass
21120	BHRC	1	-43	1			1		1	Pass
21120	BHRC	2	-51	1			1		1	Pass
21125	BHRC	1	-79	1			1		1	Pass
21133	BHRC	1	-82			1	1	1	1	Pass
21133	BHRC	2	-39	1	1				1	Pass
21134	BHRC	1	-76	1	1	1	1	1	1	Pass
21138	BHRC	2	-98			1	1	1	1	Pass
21145	BHRC	2	-70	1			1		1	Pass
21153	BHRC	2	-62	1			1		1	Pass
21155	BHRC	1	-164	1	1				1	Pass
21155	BHRC	2	-105	1	0.75				0.875	Artifact
21164	BHRC	1	-107			1	1	1	1	Pass
21165	BHRC	1	-89	1			1		1	Pass
21166	BHRC	1	-64			1	1	0.75	0.916666667	Artifact
21166	BHRC	2	-55			1	1	1	1	Pass
21171	BHRC	1	-72	1	1				1	Pass
21178	BHRC	1	-76			1	1	1	1	Pass
21243	BHRC	2	-50	1	1				1	Pass
21272	BHRC	2	-188	1	0.25	0.5	0.25	0	0.4	Artifact
21313	BHRC	2	-36			1	1	1	1	Pass
21319	BHRC	2	-69		1	1		1	1	Pass
21341	BHRC	2	-34			1	1	1	1	Pass
21362	BHRC	2	-63	1			1		1	Pass
21424	BHRC	2	-46	1	0.75	1	1	0.75	0.9	Artifact
21434	BHRC	2	-60		1	1		1	1	Pass
21474	BHRC	2	-113	1			1		1	Pass
21510	BHRC	2	-74			1	1	1	1	Pass
21534	BHRC	2	-116	1	1	1	1	1	1	Pass
21583	BHRC	2	-63	1	0.75				0.875	Artifact
21598	BHRC	2	-45		1	1		1	1	Pass
21674	BHRC	2	-44			1	1	1	1	Pass
21713	BHRC	2	-46	1			1		1	Pass
21714	BHRC	2	-53		1	1		1	1	Pass
21755	BHRC	2	-86	1	1				1	Pass
21773	BHRC	2	-48		1	1		1	1	Pass
21838	BHRC	2	-65	1	1	1	1	1	1	Pass
21841	BHRC	2	-42	1			1		1	Pass
21857	BHRC	2	-40			1	1	1	1	Pass
21858	BHRC	2	-83			1	1	1	1	Pass
21913	BHRC	2	-61		1	1		1	1	Pass
21927	BHRC	2	-43		1	1		1	1	Pass
30000	BHRC	1	-65	1			1		1	Pass
30000	BHRC	2	-42	1	1				1	Pass
